Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Condemna (Llevant)","Cris Juanico","Condemna (Llevant)","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2522801","3yoHKBJJWl8FIuCSBq6Wd5"
"Què volen","Rudymentari","Què volen","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES16E2600834","66CQ755i2rcOJyC8ublqug"
"Tu ets ses teves ferides","Reggaetonpare","UN PUNT FINAL I UN PUNT D'INICI","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ESA092517412","1QcYTFa8piepsct5CvZ1il"
"LA DAMA DE MALLORCA","MARIA HEIN","LA DAMA DE MALLORCA","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES97D2311001","5fjLGqrka4TRFw9Mm50C6x"
"Te Vendré a Cercar","Xanguito","Beix","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D1700265","5qJYu8e4mqAdXTl5xsHh9V"
"Viure Sense Tu","Antònia Font","Antònia Font","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570732603","6t18lS4oVhqSgPTBAB1QES"
"Som","Rudymentari","CONTRACORRENT","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ESA011917840","52tkDCficCsu0JvmSeqY0T"
"Si Véns","Ja T'ho Dire","Historia D'un Viatge","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5950200100","2Y5p4EeVSa97QhBPaOdYAH"
"Sant Antoni - de Manacor","Nastallat","Sant Antoni (de Manacor)","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8572510701","5eEiWXO0JrTKGrR7rnYHeE"
"Sa Batxateta","Ses Bísties de Mongofre","Sa Batxateta","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZRP52566073","6zVoAkpF6lHf00QSCdsW3c"
"Altres Monocromies","Negre","Encara Un Misteri","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2522204","0UkAFDNKAQhE3BVK438R6R"
"Pa Amb Oli Nacional","Ocults","Bàsic","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570747302","4Fw8TocGKhHwTG92dpKPYP"
"Jo Tenc una Enamorada","Projecte Mut","Poèsica","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5060919518","6Fmjo5t6aFxXu4rDwZ0iKB"
"Paradís","Pèl De Gall","A Sa Vostra Salut","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A1914003","5RZNOfCnhURjTFqacuAijj"
"Vacasiones a Mallorca","Ossifar","20 Anys 50 Cansiones","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570757405","5upIGv8HJ1pFRSBochcHcg"
"Què coi ha passat","K-ZU","Què coi ha passat","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D2502973","6l3IV9MPh2Vjjmtcqx2jmT"
"De bon de veres","Reïna","De bon de veres","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZNWT2416900","6XFvE07eLL5enBFDV82Y1d"
"Sense tu","Oprimits","Endavant","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5951304426","6vuRAkKkgKhwZ4JyNXGBLM"
"Me Vull Amb Tu","MDMAR","Me Vull Amb Tu","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8572306201","2aNq2pfhA6bmmjf5REO7M9"
"Pus Mai Més","Plan-ET","PLANETOSKY S.A","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","USY242483735","2OYiLCDnhBSuuC4tZ8xMBH"
"Final Feliç","Joan Miquel Oliver","Bombon Mallorquin","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570752504","79VZJbDYiJ48yqLECDknjQ"
"Cada nit","Anegats","Mons Diferents","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570740703","0nmWetPONCq8SLUmEHofvi"
"Sa Lluna Damunt Formentera","Projecte Mut","10 Anys I Bons","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5951605457","1vBUpgTd3dkHPTf3HYEAKD"
"FRIKIS","FADES","METALLIX","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZTBA2470442","5FcTv6faNsBQ5KcJDGKGFT"
"Sa fel","Da Souza","Dies d'Attrezzo","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2200028","3dd1qnPslZYIlbOz1EKVQh"
"Tornes","Suc I Sopes","Tornes","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZRP52500278","0h2n7BZ5v37Po3FZnHw0sh"
"Calgary 88","Antònia Font","Lamparetes","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES21I1100007","3JVnENbLG8glzbsHipzO2K"
"ARTIFICIAL","FADES","METALLIX","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES6102426202","5V6pQMM8bgFnocNxK5zPoI"
"Ressaca a sa platja","Maria Jaume","Nostàlgia Airlines","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2300065","6TMsPIBih5mb6phJiRZ4ee"
"BBY","Plan-ET","Kepler-454","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ESA012220913","7DCtNl9hmi1lw72rguErAo"
"Verí de s'altra punta","Lluís Cabot","Fernanda","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2000080","1tV4EJmsARPdAJ2TxIa6k6"
"Gra6","Oprimits","Endavant","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5951304424","2VeUAJWtRN14MHbf0We0UF"
"Tornarem","Xanguito","Milions D'Estrelles","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D2001005","4B7ySIHSMyWApcuorpeCLE"
"Metres per segon","Da Souza","Salsa agredolça","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES09S1900467","59lsrMMzO6eHEVDiwuOzfC"
"SUPERGLUUU","Plan-ET","Kepler-454","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QM4TX2290658","3zg4bYgD1g9VTqWeX8vdEF"
"Catalonian Girls","FADES","Catalonian Girls","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZNWU2352585","0gMCNrYa3fZqtQtZ30crAq"
"Carinyo","Reïna","Arts Marcials","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D2101480","3XtcsceoXRXOVbn6udRUqE"
"Fent voltes per Palma","Xanguito","Bon Rotllo","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES71G2405189","5s0N9Zoh2whYUuhXapWmBO"
"T'estim","Panellet","Sayonara","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QM4TW2405791","4Ri1wxTso2S6t0Y1hGWTKx"
"Hoteles, sol y playa","Maria Jaume","Nostàlgia Airlines","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2400007","6LPebm6OdvoTHViMLpX30o"
"Som Oprimits","Oprimits","Endavant","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5951304425","6BWgTHNcD9iCzymXmHURK0"
"Altres Monocromies - Remix","Negre","Altres Monocromies (Remix)","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2522211","1QfB0ly7fTTQGuxylkMAOL"
"me vares robar","Plan-ET","Amor Blindat","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","USX9P2315983","0HJrNSEto9hc6IvBzz3cEJ"
"Venc amb tu","Antònia Font","Un minut estroboscòpica","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES66S2100077","2LrcdPgMTtoqpUHmmjn7dx"
"Sa Porsella i Es Sivil","Ossifar","Bàsic","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570747002","23CKvds0epfp7EtvLpXknS"
"Nit i dia","Verlaat","Nit i dia","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZHN42168936","5omaGE3fAW3fuXCdLazfpp"
"Radiolaris","Miquel Serra","L'Elegància Dorm","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES42G1900023","799fPFKlkK7Qyt7xHTErBx"
"Hater","OR (O-ERRA)","Hater","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES4572381801","11B1pCZogSJxniB8qhDUVD"
"Pep","Da Souza","Pep","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2100019","1ZKKF5ktyBzqhQnQaTYuN6"
"Terra i sal","Pèl De Gall","Terra i sal","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2217504","3luQLBwjBeEy6Zs255DXZR"
"Fotogrames","Da Souza","Dies d'Attrezzo","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2200024","4tlSjJwUgJeBzN7t73MQWA"
"Hola Pilar","Ocults","Bàsic","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570747303","2Yxzq0x5qEl9ClCDtkEx7M"
"Mai neva a Ciutat","FADES","Mai neva a Ciutat","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZTBB2357459","6ucdRCVr3AgJspBFDMo46v"
"Sa teva presència","MARIA HEIN","Continent i contingut","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES97D2109203","6fymPOqc4tJD3F333C8dHW"
"com estimar un mirall","Salvatge Cor","CRUÏLLA","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QM4TW2234137","71qARLadzVgysFh7YksxpP"
"Marivent","Caspary","Gäbi","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES71G2402253","6A2jL37Y5T2x01aCDciI9E"
"Oh la la","Antònia Font","Un minut estroboscòpica","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES66S2100069","1viuuuIRWtYP5Chx6MBpDD"
"Ai ai ai (cicatriu)","Lluís Cabot","Ai ai ai (cicatriu)","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2100033","40FbCrPo5gmQhncUCwBzVP"
"Me desplom","Maria Jaume","Voltes i voltes","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2200006","6KWWMpx77b6UT8RLNHziBt"
"Es teus ulls davant la mar","MARIA HEIN","Continent i contingut","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES97D2109201","73KmNhDvchvaAxOwFKIyrI"
"Marès a Radial","Joan Miquel Oliver","Pegasus","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES55G1500021","025DHHkuEmcSsJfVtJZM0u"
"Alegria","Antònia Font","Alegria","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5300822325","1ia819gHWbLBBYHqK76Yg8"
"Tu I Jo","Reïna","Arts Marcials","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D2101478","5EcrbmaNWaMouRWmS894II"
"IGLÚ","Plan-ET","Kepler-454","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QM4TX2290659","6pDKzSSTr8Y7fWmPg3tZ4P"
"Comença pel final","Lluís Cabot","Periple estacionari","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QM6P41850604","3lsL0wmrAT4FIBqYyvXSz7"
"Honey","Joan Miquel Oliver","Elektra","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5301867859","6MeXxGeHVobj2k3E2sJWO8"
"La Canción Del Verano","OR (O-ERRA)","Focs Artificials","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8572204401","2qMV5rRYKof93Sl3dFhI5X"
"Sempre t’estim","Xanguito","Bon Rotllo","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES71G2404717","4S8l05eSdxWNHPQxYPZ6Wl"
